"Category","2021","2022","2023"
"Austria",2.8,7.4,4.4
"Belgium",3.2,9.4,2.9
"Bulgaria",2.8,12.5,6.8
"Croatia",2.7,8.2,3.6
"Cyprus",2.3,7,3.3
"Czechia",3.3,13.9,5.8
"Denmark",1.9,7.5,3.4
"Estonia",4.5,17,4.7
"Finland",2.1,6.4,2.8
"France",2.1,5.9,4.1
"Germany",3.2,7.9,4.8
"Greece",0.6,8.9,3.5
"Hungary",5.2,11.8,7.6
"Ireland",2.4,7.3,3.3
"Italy",1.9,7.4,3.4
"Latvia",3.2,15.5,6
"Lithuania",4.6,17,5.1
"Luxembourg",3.5,8.5,3
"Malta",0.7,5.6,3.3
"Netherlands",2.8,9.4,3.3
"Poland",5.2,12.2,9
"Portugal",0.9,6.8,3.6
"Romania",4.1,11.1,7.2
"Slovakia",2.8,10.5,8.2
"Slovenia",2,7.6,4.9
"Spain",3,8.1,3.4
"Sweden",2.7,6.6,3.6
"Euro area",2.6,7.6,4
"EU",2.9,8.3,4.6
